name,phone,website,city,state,rating,reviews,quality_score
"The Fort Dumpster Dash Spanish Fort Alabama","+1 251-287-3027","https://www.fortdumpsterdash.com/","Spanish Fort","Alabama",5,126,1.0
"Dump South Dumpster Rental","+1 251-509-6035","https://dumpsouth.com/fairhope-al/","Fairhope","Alabama",5,94,1.0
"Freedom Dumpster Rental LLC","+1 256-405-9669","https://freedomdumpsterservices.com/","Anniston","Alabama",5,60,1.0
"Bin There Dump That Birmingham","+1 205-775-8259","https://www.bintheredumpthat.com/birmingham-dumpster-rentals/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb-landing-page%26utm_campaign%3Dgmb-bham","Pelham","Alabama",5,360,1.0
"Dumpster Daddy - Dumpster Rental Birmingham","+1 205-447-8044","https://www.dumpsterdaddyal.com/","Birmingham","Alabama",5,102,1.0
"VaVia Dumpster Rental Birmingham","+1 205-883-9152","https://govavia.com/birmingham-al-dumpster-rental/","Birmingham","Alabama",5,401,1.0
"Call-N-Haul Dumpsters","+1 205-236-4499","http://callnhauldumpsters.com/","Birmingham","Alabama",5,121,1.0
"American Dumpster Company","+1 256-290-0110","https://www.americandumpstercompany.com/guntersville-al/","Guntersville","Alabama",5,197,1.0
"Central Dumpster Rentals","+1 205-578-8252","https://centraldumpsterrentals.com/","Chelsea","Alabama",5,51,1.0
"Dauphin Containers Mobile Dumpster Rentals","+1 251-533-7391","https://dauphincontainers.com/","Mobile","Alabama",5,222,1.0
"The Dumpster Guy","+1 251-270-9633","https://baldwin.thedumpsterguyusa.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral","Foley","Alabama",4.9,318,1.0
"3C Transportation & Rentals LLC","+1 256-523-1231","https://www.3crentalllc.com/","Crossville","Alabama",5,85,1.0
"Mandi-Jo's Scaffolding & Dumpster Rentals","+1 251-284-4760","http://www.mandijos.com/","Foley","Alabama",4.8,52,1.0
"Jay Pressure Washing","+1 334-245-3101","https://brownspressurewashingal.com/","Pike Rd","Alabama",5,70,1.0
"Waste Removal USA","+1 770-954-7896","https://wasteremovalusa.com/locations/georgia/atlanta%3Futm_source%3Dlisting%26utm_medium%3Dlisting_yext_Atlanta","Atlanta","Georgia",4.9,160,1.0
"Hometown Waste & Recycling Services Inc.","+1 732-785-4910","https://hometownwastenj.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_term%3Dhometown-waste-nj","Old Bridge","New Jersey",4.8,532,1.0
"J&S Disposal","+1 732-319-8089","https://jsdisposalnj.com/","Piscataway","New Jersey",4.7,66,1.0
"Guardian Dumpster Rental","+1 631-206-5588","https://www.dumpsterrentalnassausuffolk.com/","West Babylon","New York",5,83,1.0
"Superior Waste Services of New York","+1 631-580-5800","https://superiorwaste.com/","Holbrook","New York",4.9,101,1.0
"Junk Rescue & Dumpster Rentals","+1 844-553-8993","https://junk-rescue.com/%3Futm_campaign%3DGBP%26utm_medium%3Dsocial%26utm_source%3Dgbp","Moorestown","New Jersey",4.9,3819,1.0
"Christensen Recycling","+1 908-421-1493","http://christensenrecycling.com/","Sayreville","New Jersey",5,506,1.0
"Roll-Off Dumpster Direct","+1 888-885-2048","https://www.rolloffdumpsterdirect.com/%3Futm_source%3Dgoogle-my-business%26utm_medium%3Dorganic%26utm_campaign%3Dphilly","Wayne","Pennsylvania",4.7,846,1.0
"Just Dump It","+1 256-293-8056","http://www.justdumpitdumpsterrentals.com/","Albertville","Alabama",5,128,1.0
"The Dumpster Guy Mobile","+1 251-415-4545","https://mobile.thedumpsterguyusa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dgbp","Theodore","Alabama",5,109,1.0
"Southern Carports & More of Alabama","+1 334-630-1116","https://maybachsystems.com/inventory/dealership/Lanett_AL","Lanett","Alabama",5,52,1.0
"Wise Environmental Solutions","+1 256-832-7867","http://wiseenviro.com/","Oxford","Alabama",4.6,87,1.0
"Express Demo & Waste","+1 866-838-0106","https://expressdemolitionnyc.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3DNassau_County","Garden City","New York",4.9,66,1.0
"121 Disposal Company","+1 334-707-4850","https://121disposal.com/","Auburn","Alabama",4.6,219,1.0
"Alaska Fence Company","+1 703-550-9805","https://alaska-fence.com/","Springfield","Virginia",4.6,74,1.0
"Green Elephant Contractors","+1 480-421-8778","https://www.greenelephantcontractors.com/","Apache Junction","Arizona",4.9,119,1.0
"Scott Waste Services","+1 602-438-2243","https://scottwasteservices.com/","Phoenix","Arizona",4.9,238,1.0
"J & S Dumpster Service LLC","+1 928-671-0674","https://www.jsdumpsterservice.com/","Wittmann","Arizona",5,101,1.0
"America's Dumpsters","+1 480-298-0103","http://www.americasdumpsters.com/","Mesa","Arizona",5,84,1.0
"Dumpster Relief","+1 480-401-2631","https://dumpster-relief.com/","Queen Creek","Arizona",5,83,1.0
"Junk Rescue - Junk Removal & Dumpster Rental","+1 480-719-0611","https://junkrescueaz.com/services-areas/arizona/phoenix-junk-removal/","Phoenix","Arizona",5,103,1.0
"AZ Roofing","+1 203-889-9177","https://azroofingct.com/","Bristol","Connecticut",4.9,146,1.0
"Lightning Bolt Rentals","+1 480-400-0995","http://www.lightningboltrentals.com/","Heber","Arizona",5,134,1.0
"All Valley Rolloff Dumpster Rentals","+1 480-430-1792","https://allvalleydumpsterrentals.com/","Queen Creek","Arizona",5,56,1.0
"Staples","+1 480-970-1100","https://stores.staples.com/az/scottsdale/3550-north-goldwater-blvd%3Fcmpid%3Dst_ll_goo%26cid%3DLS:RETAIL:G%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGoogle_Business_Listing","Scottsdale","Arizona",4.6,198,1.0
"Rhino Roll Offs","+1 520-335-0405","https://rhinorolloffdumpsterrentals.com/%3Futm_source%3Dgoogle%2B%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-website-link","Tucson","Arizona",5,114,1.0
"Peace Of Trash","+1 602-561-1498","https://peaceoftrashllc.com/","Glendale","Arizona",5,215,1.0
"Tucson Dumpsters","+1 520-462-5614","https://www.tucsondumpsters.com/","Tucson","Arizona",5,63,1.0
"1-800-PACK-RAT","+1 800-722-5728","https://www.1800packrat.com/locations/arizona/phoenix%3Futm_source%3Dgoogle%26utm_medium%3Dgoogle_business_profile%26utm_campaign%3Dphoenix","Phoenix","Arizona",4.6,549,1.0
"Sun Pac Shipping Container Sales  Office  Storage Container Rental","+1 602-888-0158","https://www.sunpacaz.com/","Phoenix","Arizona",5,76,1.0
"All Star Storage & Container Sales  LLC","+1 480-788-3146","http://www.allstarstoragecontainers.com/","Apache Junction","Arizona",4.6,122,1.0
"Arizona Metro Hauling","+1 480-233-2131","https://azmetrohauling.com/","Mesa","Arizona",5,73,1.0
"Arizona Junk Monkey Removal Services","+1 602-554-2941","https://azjunkmonkey.com/","Youngtown","Arizona",5,147,1.0
"Arizona Junk Hauling & Bulk Trash Removal","+1 480-969-4285","https://arizonajunkhauling.com/","Tempe","Arizona",5,102,1.0
"American Dumpster Rentals","+1 501-289-8375","https://www.americandumpster-rentals.com/","Morrilton","Arkansas",5,136,1.0
"The Real Deal Dumpsters","+1 870-376-1432","https://www.therealdealdumpsters.com/","Batesville","Arkansas",4.9,51,1.0
"Arkansas Waste Solutions","+1 479-222-0522","http://yourlocaldumpster.com/","Fayetteville","Arkansas",4.9,107,1.0
"Mobiledumps Northwest Arkansas","+1 479-517-0800","https://mobiledumps.com/location/northwest-arkansas/","Rogers","Arkansas",5,67,1.0
"Ozark Dumpster Service","+1 479-409-2074","http://www.ozarkdumpsterservice.com/","Springdale","Arkansas",5,433,1.0
"On Point Dumpster Rental NWA","+1 479-219-2088","https://www.onpointdumpsterrentalnwa.com/","Rogers","Arkansas",4.8,54,1.0
"Premier Storage - Greenbrier","+1 501-500-5171","https://www.thestorageadvantage.com/storage-units/arkansas/greenbrier/premier/s-broadview-st%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-s-broadview-st","Greenbrier","Arkansas",4.7,102,1.0
"Junk It Roll Offs","+1 417-241-2996","https://junkitrolloffs.com/","Fordland","Missouri",5,102,1.0
"HOGBOX","+1 479-445-6611","https://hogbox.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dlocal_listing","Fayetteville","Arkansas",4.9,102,1.0
"A-1 Waste LLC","+1 731-424-7666","https://www.a-1waste.com/","Denmark","Tennessee",4.9,122,1.0
"Dumpster Dudez","+1 479-351-3330","https://dumpsterdudez.com/nw-arkansas","Fayetteville","Arkansas",5,224,1.0
"Roll Off Operations | Dumpster Rental","+1 901-504-5333","https://rolloffops.com/","Arlington","Tennessee",5,51,1.0
"Prime Manufacturing Services  LLC","+1 662-562-2139","http://useprimeservices.com/","Senatobia","Mississippi",4.9,87,1.0
"Arkansas Containers LLC - Sales & Rentals","+1 501-459-9188","https://www.aclbox.net/%3Futm_campaign%3Dgmb","Judsonia","Arkansas",5,289,1.0
"Ozark Dumpster Service of Bentonville","+1 479-227-2100","http://odsbentonville.com/","Bentonville","Arkansas",5,197,1.0
"Ozark Containers","+1 870-800-4038","https://ozarkcontainers.com/","Harrison","Arkansas",4.9,70,1.0
"Filco Carting Corporation","+1 718-456-5000","http://filcocarting.com/","Closter","New Jersey",4.5,173,1.0
"Jakes Dumpsters","+1 901-252-0382","http://jakesdumpsters.com/","Memphis","Tennessee",5,117,1.0
"Rhino Dumpster Rentals","+1 270-804-5809","https://rhinodumpsterrentalsky.com/","Mayfield","Kentucky",4.9,84,1.0
"Delta Waste Solutions","+1 601-272-8060","https://www.deltawastesolutions.com/","Jackson","Mississippi",4.9,91,1.0
"Homewood Disposal","+1 708-798-1004","http://mydisposal.com/","Homewood","Illinois",4.6,908,1.0
"Next Day Dumpsters","+1 301-259-5895","https://nextdaydumpsters.com/dumpster-rental-maryland/beltsville-md/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-beltsville%26utm_campaign%3Dmd","Beltsville","Maryland",4.7,335,1.0
"Castro’s Hauling","+1 510-365-2515","https://www.castroshauling.com/","Berkeley","California",5,224,1.0
"D.B. Container Service","+1 718-257-2300","https://www.dbcontainers.com/","Brooklyn","New York",4.7,106,1.0
"Bin It","+1 888-552-4648","https://bin-it.com/","Long Island City","New York",4.8,91,1.0
"American Pro Dumping & Hauling LLC","+1 909-801-4746","http://www.americanprodumping.com/","Beaumont","California",5,119,1.0
"Dave's Disposal Service","+1 951-499-8188","https://www.davesdisposalservices.com/","Cherry Valley","California",5,158,1.0
"The Green Dumpster Rental","+1 818-900-5454","https://www.thegreendumpster.com/%3Futm_source%3Dgbp_listing%26utm_medium%3DOrganic","Chatsworth","California",4.9,476,1.0
"Zippy Dumpster","+1 855-432-2467","https://www.zippydumpster.com/","Los Angeles","California",4.9,117,1.0
"Express Disposal","+1 213-465-7775","http://www.exdisposal.com/","Los Angeles","California",4.7,171,1.0
"Hauling LA Junk Removal Service","+1 310-872-6955","http://www.haulingla.com/","Los Angeles","California",5,61,1.0
"The Junkluggers of Hollywood","+1 323-894-1839","https://www.junkluggers.com/hollywood/%3Futm_campaign%3Dgmb%26utm_medium%3Dlocal%26utm_source%3Dgoogle%26force_source%3Downsite","Los Angeles","California",4.9,448,1.0
"A Junk Free Planet","+1 818-625-3977","https://www.ajunkfreeplanet.com/","Glendale","California",4.9,63,1.0
"Zoom Bins Inc.","+1 323-400-8367","https://zoombins.co/","Mission Hills","California",5,75,1.0
"West LA Hauling Junk Removal","+1 323-218-2000","http://westlahauling.com/","Los Angeles","California",4.9,120,1.0
"Junk Master","+1 310-754-5567","https://www.junk-master.com/","North Hollywood","California",5,288,1.0
"Remove It Pro","+1 747-234-1165","http://www.removeit.pro/","Burbank","California",5,70,1.0
"G&S Junk Removal","+1 626-217-0083","https://gnsjunkremoval.com/%3Futm_campaign%3Dgmb","Pasadena","California",5,78,1.0
"Interior Removal Specialist Inc","+1 323-357-6900","https://www.irsdemo.com/","South Gate","California",4.7,64,1.0
"Echo Park Swan Boats by Wheel Fun Rentals","+1 213-444-9445","https://wheelfunrentals.com/ca/los-angeles/echo-park/","Los Angeles","California",4.6,2861,1.0
"Extra Space Storage","+1 323-568-1650","https://www.extraspace.com/storage/facilities/us/california/los_angeles/7930/%3Fcid%3Dorg::maps%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dorg::maps","Los Angeles","California",4.9,545,1.0
"Saf Keep Storage","+1 323-461-2010","https://www.safkeep.com/self-storage-locations/california/los-angeles-ca-storage-units/4996-melrose-avenue%3Futm_source%3Dgbplistings%26utm_medium%3Dorganic%26utm_campaign%3Dla-hollywood-sks","Los Angeles","California",4.5,133,1.0
"Red Lilly Plumbing","+1 323-319-4102","https://www.redlillyplumbing.com/","Los Angeles","California",4.8,502,1.0
"Golden Bear Hauling and Junk Removal","+1 213-340-1094","https://www.goldenbearhauling.com/%3Futm_campaign%3Dgmb","Los Angeles","California",5,285,1.0
"Bins 4 Less  Inc.","+1 626-876-3385","http://www.bins4less.com/%3Futm_campaign%3Dgmb","La Puente","California",5,275,1.0
"ZTERS","+1 346-330-1852","http://www.zters.com/","Houston","Texas",4.6,608,1.0
"EZ Atlanta Junk Removal South","+1 470-486-7004","https://junkremovalguysofatlanta.com/","College Park","Georgia",5,78,1.0
"All Junk Pick Up","+1 844-777-5865","https://junk.anyjunkpickup.com/","Daly City","California",5,61,1.0
"All American Hauling","+1 925-718-9869","https://www.allamericanhauling.net/","Walnut Creek","California",5,173,1.0
"TJ Zebra Dumpsters","+1 408-495-3006","https://www.tjzebradumpsterssj.com/%3Futm_campaign%3Dgmb","San Jose","California",4.9,175,1.0
"Debris Box","+1 619-209-8726","https://www.debrisboxonline.com/","San Diego","California",4.8,131,1.0
