name,phone,website,website_status,city,state,rating,reviews,quality_score
"The Junk Removal Pros","+1 810-505-5197","https://www.thejunkremovalprosmi.com/","reachable","Lapeer","Michigan",5,87,1.0
"CONSTRUCTION ENTERPRISE NY","+1 718-322-9093","https://jbgeneralcontracting.com/","reachable","Ozone Park","New York",4.9,125,1.0
"Spot On Dumpster Rentals LLC","+1 951-933-8401","http://spotondumpsterrentals.com/","403","Perris","California",4.9,73,1.0
"Storage Rentals of America","+1 475-253-5155","https://www.sroa.com/find-storage/connecticut/waterbury/waterbury-west%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business","404","Waterbury","Connecticut",4.8,472,1.0
"SoCal Junk Men","+1 714-706-3957","https://www.socaljunkmen.com/","403","Anaheim","California",5,335,1.0
"Trailer Rental  Imperial Dynasty LLC","+1 661-402-9104","http://www.trailerrentalsbakersfield.com/","403","Bakersfield","California",5,66,1.0
"Dumpster Deals","+1 810-347-7559","https://www.getdumpsterdeals.com/","reachable","Saginaw","Michigan",4.9,57,1.0
"MYG - Junk Removal","+1 917-808-7611","http://mygjunkremovalny.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick","404","Rego Park","New York",5,118,1.0
"Hudson Valley Mobile Dumpster Rentals & Junk Removal","+1 845-489-8694","https://hvmobiledumpsters.com/%3Futm_campaign%3Dgmb","404","Kingston","New York",4.9,64,1.0
"Just Rubbish Removal","+1 646-371-2167","http://www.needrubbishremoval.com/%3Futm_campaign%3Dgmb","reachable","Brooklyn","New York",5,481,1.0
"Heritage Dumpster Solutions","+1 951-441-2972","https://heritagedumpstersolutions.com/%3Futm_campaign%3Dgmb","404","Riverside","California",5,221,1.0
"Hauling Ops - Dumpster Rentals","+1 720-999-0418","https://www.haulingops.com/","reachable","Milliken","Colorado",5,51,1.0
"Super junkers","+1 720-248-7076","https://www.superjunkers.com/","reachable","Denver","Colorado",5,196,1.0
"AAA Carting","+1 914-730-2014","http://aaacarting.com/","403","Buchanan","New York",4.5,470,1.0
"Calamari Recycling Co. Inc Scrap Metal","+1 860-788-4447","https://calamarirecycling.com/%3Futm_campaign%3Dgmb%26y_source%3D1_mtuymjiyodctnze1lwxvy2f0aw9ulndlynnpdgu%253D","404","Essex","Connecticut",4.6,65,1.0
"EZ Stockton Junk Removal","+1 209-318-3775","https://junkremovalguysofstockton.com/","reachable","Stockton","California",5,172,1.0
"Natural Sanitation Garbage Can Cleaning","+1 586-500-6794","https://www.naturalsanitations.com/","reachable","Sterling Heights","Michigan",4.9,250,1.0
"Streamline Enterprises  Inc","+1 517-742-3042","https://streamlinecompany.com/%3Futm_campaign%3Dgmb","403","Lansing","Michigan",4.7,405,1.0
"JRemoval","+1 949-992-3619","https://jremoval.com/","reachable","Irvine","California",5,74,1.0
"Junk Removal Always ON Time","+1 714-406-7515","http://junkremovalnewport.com/","403","Newport Beach","California",5,268,1.0
"Hoss Dumpster Rental","+1 253-553-2978","https://www.hossjunkremoval.com/","reachable","Tacoma","Washington",5,97,1.0
"Grizzly Junk Pros","+1 203-219-8855","http://grizzlyjunkpros.com/","403","Stamford","Connecticut",4.9,108,1.0
"Junk Dawgs Riverside","+1 909-712-9525","https://junkdawgs.net/riverside-ca/%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3Driverside","404","Riverside","California",5,353,1.0
"SKM Property Maintenance","+1 586-339-4649","http://www.247handymanservice.com/","reachable","Royal Oak","Michigan",4.9,188,1.0
"Hulk Addicts Hauling and Junk Removal","+1 970-818-4855","http://hulkaddictsjunk.com/%3Futm_source%3DGMB%252B%26utm_medium%3DWebsite","403","Johnstown","Colorado",5,254,1.0
"GLR Advanced Recycling - Cars","+1 517-376-4800","https://www.glradvanced.com/","reachable","Lansing","Michigan",4.9,213,1.0
"Action Environmental Services","+1 866-270-9900","https://actioncarting.com/","reachable","Teaneck","New Jersey",4.5,226,1.0
"Ace Dumpster Rentals","+1 704-966-7306","https://www.acedumpstersnc.com/","reachable","Denver","North Carolina",5,82,1.0
"A1 Waste Removal","+1 517-740-0597","https://a1-waste-removal.ueniweb.com/","reachable","Jackson","Michigan",5,246,1.0
"Relocrate Denver","+1 303-991-9856","https://relocrate.com/","reachable","Denver","Colorado",4.9,74,1.0
"Rocky's Dumpster Rental","+1 951-667-8553","https://www.rockysjunkremoval.com/","403","Jurupa Valley","California",5,61,1.0
"OnCall Dumpsters","+1 209-505-8733","http://oncalldumpsters.com/","reachable","Ceres","California",5,86,1.0
"Dry Box - Denver","+1 720-500-1364","https://dryboxusa.com/locations/denver-colorado/%3Futm_source%3DGoogle%2BBusiness%2BProfile%26utm_medium%3Dorganic%26utm_campaign%3DGBP%2BDenver","404","Denver","Colorado",5,118,1.0
